ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
400000	101	S	4	41	52582	19.20	459.52	38.081167	-122.547606	2.575	ML	4	SR-37/S Novato Blvd	DT028	L4-S-27-101-01920		
400001	101	N	4	85	68000	38.26	387.897	37.364085	-121.901149	.72	ML	5	NB 880 To NB 101	E37GN	L5-N-37-101-03826		
400005	80	W	4	13	60620	4.20	17.546	37.954132	-122.3289	.235	ML	4	San Pablo Dam	DT167	L4-W-28-080-00420		
400006	880	S	4	1	81204	13.54	23.767	37.605003	-122.065542	.34	ML	4	Whipple Road	E33AU	L4-S-33-880-01354		
400009	80	W	4	1	6000	5.63	10.94	37.863905	-122.303083	.12	ML	5	University Ave		L5-W-33-080-00563		
400010	101	N	4	81		19.84	422.027	37.623668	-122.400687	.45	ML	4	S.F.Airportsan Bruno Ave - 4	DT292	L4-N-35-101-01984		
400014	101	N	4	85	68000	27.22	376.491	37.245818	-121.775473	.74	ML	4	Bernal Road	E37CT	L4-N-37-101-02722		
400015	84	W	4	1	26000	3.09	33.15			.875	ML	3	Toll Plaza	DT817	L3-W-33-084-00309		
400017	85	S	4	85	68000	10.07	10.07	37.253303	-121.94544	.43	ML	4	Bascom Avenue	E37DZ	L4-S-37-085-01007		
400025	680	N	4	13	83346	13.70	45.201	37.891953	-122.062776	.455	ML	5	NB S Main St/Newell Ave-1	DT542	L5-N-28-680-01370		
400026	580	E	4	1	53000	43.36	59.445	37.809074	-122.244479	.47	ML	4	Lakeshore Ave	DT109	L4-E-33-580-04336		
400028	280	N	4	81	73262	22.96	45.5	37.649733	-122.451962	.2	ML	4	EB Westborough Blvd	E35AB	L4-N-35-280-02296		
400030	880	S	4	85	68000	3.64	3.64	37.359087	-121.906538	.25	ML	3	North 1St St	E37JI	l3-S-37-880-00364		
400031	580	W	4	1	53000	40.11	56.188	37.787056	-122.196191	1.278	ML	4	NB Macarthur Blv	DT105	L4-W-33-580-04011		
400035	880	S	4	1	33000	16.24	26.467	37.638975	-122.089798	.195	ML	4	SR-92 /Jackson St	DT633	L4-S-33-880-01624		
400036	580	W	4	13	60620	1.70	65.495	37.917369	-122.328803	.266	ML	4	Lane Add	DT004	L4-W-28-580-00170		
400037	680	S	4	13	57764	17.58	49.081	37.943413	-122.05914	.16	ML	6	Monument blvd rm s diag	DT740	L6-S-28-680-01758		
400038	880	S	4	1	33000	14.95	25.177	37.622701	-122.078223	.48	ML	5	Tennyson Rd	DT388	L5-S-33-880-01495		
400039	101	N	4	81		20.64	422.827	37.635096	-122.403232	.13	ML	4	San Bruno Ave - I-380-1	DT903	L4-N-35-101-02064		
400040	87	S	4	85	68000	2.87	2.87	37.294625	-121.873166	.205	ML	2	Curtner Ave	E37EV	L2-S-37-087-00287		
400041	880	N	4	1	33000	15.80	26.027	37.633535	-122.085656	.26	ML	4	Tennyson Rd.	E33CK	L4-N-33-880-01580		
400043	101	S	4	75	67000	3.30	431.631	37.753591	-122.403092	.46	ML	4	25th St	DT232	L4-S-34-101-00330		
400044	680	S	4	95		5.06	63.222	38.116435	-122.106331	2.02	ML	2	Parish Rd	DT773	L2-S-23-680-00506		
400045	880	N	4	85	68000	4.02	4.02	37.363402	-121.902233	.35	ML	3	SB 101 To NB 880	E37GQ	L3-N-37-880-00402		
400048	24	E	4	13	54232	1.15	5.498	37.86726	-122.199105	.41	ML	4	Gateway Blvd	DT428	L4-E-28-024-00115		
400049	4	E	4	13		17.12	16.959	38.015319	-121.992996	.36	ML	3	Willow Pass Rd.	DT864	L3-E-28-004-01712		
400050	238	N	4	1		15.41	15.233	37.688984	-122.114253	1.486	ML	2	SR-185	DT144	L2-N-33-238-01541		
400052	85	N	4	85	68000	6.14	6.14	37.255791	-121.875479	.555	ML	3	Almaden Expressway	E37EX	L3-N-37-085-00614		
400053	680	S	4	13		11.22	42.612	37.862379	-122.034414	.295	ML	4	Livorna Rd	DT265	L4-S-28-680-01122		
400057	880	N	4	85	68000	1.33	1.33	37.335022	-121.935522	.735	ML	3	WB Bascom Ave	E37JO	l3-N-37-880-00133		
400059	85	S	4	85	68000	7.97	7.97	37.250481	-121.907735	1.005	ML	3	Camden Avenue	E37EB	L3-S-37-085-00797		
400060	80	W	4	1	6000	6.14	11.45	37.870977	-122.305289	.39	ML	5	WB University Ave		L5-W-33-080-00614		
